amplitude ,angle
0.111328125,10
0,10.5
0,11
0.000976563,11.5
0.002929688,12
0,12.5
0,13
0,13.5
0,14
0.001953125,14.5
0.000976563,15
0.000976563,15.5
0.00390625,16
0,16.5
0.000976563,17
0.000976563,17.5
0.000976563,18
0,18.5
0,19
0.001953125,19.5
0,20
0,20.5
0,21
0.00390625,21.5
0,22
0.000976563,22.5
0.001953125,23
0,23.5
0.002929688,24
0.00390625,24.5
0.002929688,25
0,25.5
0,26
0,26.5
0.000976563,27
0.002929688,27.5
0,28
0,28.5
0.000976563,29
0.001953125,29.5
0.00390625,30
0,30.5
0.000976563,31
0.001953125,31.5
0.001953125,32
0,32.5
0.002929688,33
0.001953125,33.5
0,34
0.00390625,34.5
0.000976563,35
0,35.5
0,36
0.001953125,36.5
0.002929688,37
0,37.5
0,38
0.000976563,38.5
0.001953125,39
0,39.5
0,40
0.001953125,40.5
0,41
0.001953125,41.5
0.001953125,42
0,42.5
0,43
0,43.5
0,44
0,44.5
0.001953125,45
0.001953125,45.5
0,46
0,46.5
0.000976563,47
0,47.5
0,48
0.07910156,48.5
0,49
0.111328125,49.5
0,50
0,50.5
0.004882813,51
0.07421875,51.5
0,52
0,52.5
0,53
0,53.5
0.111328125,54
0.004882813,54.5
0,55
0,55.5
0.000976563,56
0.004882813,56.5
0,57
0,57.5
0.000976563,58
0.002929688,58.5
0.001953125,59
0.111328125,59.5
0,60
0,60.5
0.000976563,61
0.001953125,61.5
0.000976563,62
0.000976563,62.5
0,63
0.111328125,63.5
0.002929688,64
0,64.5
0,65
0,65.5
0.001953125,66
0,66.5
0,67
0,67.5
0,68
0,68.5
0,69
0,69.5
0,70
0,70.5
0,71
0,71.5
0,72
0,72.5
0,73
0,73.5
0,74
0,74.5
0.000976563,75
0,75.5
0.001953125,76
0.000976563,76.5
0,77
0.000976563,77.5
0,78
0,78.5
0,79
0,79.5
0.001953125,80
0,80.5
0,81
0,81.5
0,82
0,82.5
0.001953125,83
0,83.5
0,84
0,84.5
0,85
0,85.5
0.000976563,86
0.00390625,86.5
0,87
0.002929688,87.5
0.000976563,88
0.001953125,88.5
0,89
0.00390625,89.5
0,90
0.004882813,90.5
0,91
0.080078125,91.5
0,92
0.036132812,92.5
0,93
0.0546875,93.5
0,94
0.07714844,94.5
0.021484375,95
0.00390625,95.5
0.0078125,96
0.004882813,96.5
0.080078125,97
0,97.5
0,98
0,98.5
0,99
0,99.5
0.07714844,100
0,100.5
0,101
0.002929688,101.5
0.000976563,102
0.001953125,102.5
0,103
0,103.5
0.004882813,104
0,104.5
0,105
0.000976563,105.5
0,106
0,106.5
0.004882813,107
0.00390625,107.5
0.000976563,108
0.004882813,108.5
0.000976563,109
0,109.5
0.001953125,110
0.000976563,110.5
0.001953125,111
0,111.5
0.004882813,112
0,112.5
0,113
0,113.5
0.000976563,114
0.004882813,114.5
0,115
0,115.5
0,116
0.001953125,116.5
0,117
0,117.5
0,118
0.00390625,118.5
0.001953125,119
0,119.5
0.004882813,120
0,120.5
0,121
0,121.5
0.000976563,122
0,122.5
0,123
0,123.5
0,124
0,124.5
0.000976563,125
0.000976563,125.5
0,126
0,126.5
0,127
0,127.5
0.000976563,128
0.00390625,128.5
0.004882813,129
0,129.5
0.00390625,130
0,130.5
0,131
0,131.5
0.08984375,132
0.022460938,132.5
0,133
0.08984375,133.5
0,134
0,134.5
0.002929688,135
0,135.5
0,136
0.001953125,136.5
0,137
0.000976563,137.5
0,138
0,138.5
0,139
0,139.5
0.000976563,140
0,140.5
0,141
0,141.5
0,142
0,142.5
0.000976563,143
0,143.5
0.000976563,144
0.000976563,144.5
0,145
0,145.5
0.000976563,146
0,146.5
0,147
0,147.5
0.000976563,148
0.000976563,148.5
0.002929688,149
0.002929688,149.5
0,150
0.00390625,150.5
0.002929688,151
0.000976563,151.5
0,152
0,152.5
0.000976563,153
0,153.5
0.001953125,154
0,154.5
0,155
0,155.5
0.000976563,156
0,156.5
0.001953125,157
0,157.5
0.001953125,158
0,158.5
0.000976563,159
0.002929688,159.5
0,160
0,160.5
0.001953125,161
0,161.5
0,162
0,162.5
0.001953125,163
0.001953125,163.5
0,164
0,164.5
0,165
0,165.5
0,166
0,166.5
0.00390625,167
0,167.5
0,168
0.13085938,168.5
0,169
0.037109375,169.5
0,170
0,170.5
0.048828125,171
0,171.5
0,172
0,172.5
0,173
0,173.5
0,174
0,174.5
0,175
0.001953125,175.5
0.048828125,176
0.000976563,176.5
0.002929688,177
0,177.5
0.000976563,178
0,178.5
0,179
0.00390625,179.5
0.00390625,180
0,180.5
0,181
0.004882813,181.5
0,182
0,182.5
0,183
0.000976563,183.5
0,184
0,184.5
0,185
0,185.5
0,186
0,186.5
0.000976563,187
0,187.5
0.001953125,188
0.002929688,188.5
0,189
0.001953125,189.5
0.001953125,190
0,190.5
0.001953125,191
0.000976563,191.5
0,192
0,192.5
0,193
0,193.5
0,194
0,194.5
0,195
0.000976563,195.5
0,196
0.000976563,196.5
0,197
0.002929688,197.5
0,198
0.000976563,198.5
0.000976563,199
0,199.5
0.000976563,200
0,200.5
0.000976563,201
0.001953125,201.5
0,202
0.000976563,202.5
0,203
0,203.5
0,204
0.000976563,204.5
0,205
0.001953125,205.5
0,206
0.001953125,206.5
0,207
0,207.5
0,208
0,208.5
0,209
0,209.5
0.002929688,210
0,210.5
0.000976563,211
0.002929688,211.5
0,212
0,212.5
0.08886719,213
0,213.5
0.07714844,214
0,214.5
0.11230469,215
0,215.5
0.020507812,216
0.012695313,216.5
0.006835938,217
0.00390625,217.5
0.00390625,218
0.11230469,218.5
0.002929688,219
0,219.5
0,220
0.000976563,220.5
0,221
0,221.5
0,222
0.000976563,222.5
0,223
0,223.5
0.11230469,224
0.001953125,224.5
0.000976563,225
0.001953125,225.5
0,226
0,226.5
0,227
0.08886719,227.5
0.11230469,228
0.000976563,228.5
0.002929688,229
0.001953125,229.5
0,230
0.08886719,230.5
0.11230469,231
0,231.5
0,232
0.001953125,232.5
0.001953125,233
0,233.5
0.005859375,234
0.000976563,234.5
0,235
0,235.5
0,236
0.000976563,236.5
0.000976563,237
0,237.5
0.005859375,238
0,238.5
0,239
0,239.5
0,240
0,240.5
0,241
0,241.5
0,242
0,242.5
0,243
0,243.5
0.001953125,244
0.000976563,244.5
0,245
0.000976563,245.5
0,246
0.000976563,246.5
0,247
0,247.5
0,248
0,248.5
0,249
0.001953125,249.5
0,250
0.06933594,250.5
0,251
0.06738281,251.5
0,252
0.07910156,252.5
0,253
0.095703125,253.5
0,254
0,254.5
0.06933594,255
0.000976563,255.5
0.001953125,256
0,256.5
0.000976563,257
0,257.5
0.095703125,258
0,258.5
0.001953125,259
0.001953125,259.5
0.000976563,260
0.06933594,260.5
0,261
0.000976563,261.5
0,262
0,262.5
0.000976563,263
0.095703125,263.5
0.001953125,264
0.000976563,264.5
0,265
0.000976563,265.5
0.000976563,266
0,266.5
0,267
0,267.5
0,268
0,268.5
0.000976563,269
0.001953125,269.5
0,270
0,270.5
0,271
0,271.5
0.000976563,272
